StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,p_set_before_scaling
354 hydro,Vigelandsfoss 2,hydro,6365,26.0,177831.093925293,0.0923076923076923,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,16.2137414703967,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,26.0
355 hydro,Taraldsvik,hydro,6997,1.5,177831.093925293,6460.4,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,0.0
356 hydro,Svorkmo,hydro,6865,55.0,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,34.5401385742086,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,55.0
357 hydro,Svorka 5,hydro,6872,22.0,177831.093925293,330.681818181818,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,13.8160554296835,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,22.0
358 hydro,Sokna 2,hydro,6868,25.0,177831.093925293,12.0666666666667,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,15.7000629882767,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,25.0
359 hydro,Skjefstadfoss,hydro,6721,23.8,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,16.2494885052463,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,23.8
360 hydro,Skogfoss 2,hydro,7010,48.0,177831.093925293,2795.83333333333,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,19.5498641301818,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,48.0
361 hydro,Skogheim 3,hydro,6647,7.7,177831.093925293,2030.77922077922,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,4.83561940038921,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,7.7
362 hydro,Skollenborg 2,hydro,6732,97.0,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,66.2269069331466,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,97.0
363 hydro,Skoltefoss 3,hydro,6728,24.96,177831.093925293,8.625,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,15.5651918115809,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,24.96
364 hydro,Skulafossen 2,hydro,6655,4.5,177831.093925293,572.711111111111,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,0.0
365 hydro,Slind,hydro,6870,20.0,177831.093925293,918.03,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,12.5600503906213,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,20.0
366 hydro,Slunkajavrre 2,hydro,7007,21.0,177831.093925293,2359.7619047619,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,8.55306555695456,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,21.0
